smiles,qed,logp,tpsa,sas
CCOC(=O)c1oc2ccc(S(=O)(=O)Nc3ccc(F)cc3)cc2c1C,0.6826248134234617,3.857820000000003,85.61,2.0817102586944305
O=C(O)c1ccc(-c2nnc(-c3ccc(Cl)cc3)o2)cc1,0.796761674132113,3.755200000000002,76.22,1.765303620432169
CCCCCCCCCCCCCCC(=O)c1cc(O)c(O)c(O)c1,0.2158352532366495,6.077300000000007,77.76,2.1920685988140054
Oc1ncnc2c1ncn2CC1CC(O)c2ccccc21,0.747806934561167,1.7528,84.06,3.583962331254602
COc1cccc(C(C(=O)NC2CCCC2)N(C(=O)c2ccco2)C2CC2)c1OC,0.7150199019540415,3.701500000000003,81.01,2.881894931711848
CCOC(=O)c1ccc(OCc2nc3ccccc3n(C)c2=O)cc1,0.669052079718182,2.6892000000000014,70.42,2.001311474529839
Cc1cc(C(C)(C)C)cc(C)c1N,0.6050664142771054,3.1831400000000007,26.02,2.090677512246589
C=C1CCC(O)C2(C)CCC(CC(C)(C)O)C12,0.7262174649843389,2.8908000000000014,40.46,4.306643510921198
CCCNC(=O)Nc1ccc(C(=O)n2nc(C)c(Br)c2C)cc1,0.8541300956970748,3.482440000000002,76.02000000000001,2.1655683444024056
Cc1cc(Oc2cccc(CNC(=O)c3cc4c(Cl)cccc4[nH]3)c2)ccc1CCC(=O)O,0.3051625656771982,5.869220000000005,91.42,2.326613876822014
COc1ccc(-c2ccc3c(=O)cc(N4CCOCC4)oc3c2)cc1,0.7338544296621183,3.305200000000002,51.91,2.2182320580944506
O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN(C2CCC(N3C(=O)CCC3=O)CC2)C1,0.5817284217228869,2.3211000000000004,107.52999999999996,2.862608899257665
OC(Cc1ccc(Cl)c(Cl)c1)=NC1CCOc2ncccc21,0.6666209973605965,4.411200000000004,54.71000000000001,3.329593461073149
CCC(c1ccc(Cl)cc1)N1CCC2(CCC(O)CC2)OC1=O,0.8938150036646413,4.307100000000004,49.77,3.484838222504858
CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)NCc2ccccc2)c1C,0.7402248251137461,2.28144,97.49,1.9937487202328903
Cc1cccc(S(=O)(=O)N2CC3NC(C2)C3c2ccc(-c3ccccc3F)cc2)c1,0.693190141104659,3.9296200000000026,49.41,3.795546666559367
O=C(Nc1ccc(Oc2ccccc2)cc1)C1CCN(c2ncccn2)CC1,0.7274517843037945,4.124000000000002,67.35,1.93204999137258
Cc1cccc(OCCNS(=O)(=O)c2ccc(Cl)cc2)c1,0.8306047338622926,3.005720000000001,55.4,1.7216243244738898
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2cc[nH]c2c1=O,0.5256276712846175,3.697400000000002,93.19,2.530754977806403
Cc1ccc(COc2ccc3c(c2)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n3Cc2ccc(-c3cccc(C(F)(F)F)n3)cc2)nc1,0.1503007344440323,9.59672,77.24,3.134124237431047
Oc1c(Cc2ccccc2Cl)ccc2cccnc12,0.7568394610389187,4.184600000000002,33.120000000000005,1.979822370097944
CC(=O)N1CCN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2CC2CCC(C)CC2)C(C)C1C,0.3590307519634399,4.7618000000000045,126.04000000000002,4.426695537161896
CCCC(Nc1cncc(-c2ccc(O)c(OC)c2)n1)c1cccc(Cl)c1,0.5662535693196491,5.464500000000004,67.27000000000001,2.799199662128009
COc1ccc(-c2c3c(=O)n(C)c(=O)n(C)c3cn2N2CCOCC2)cc1,0.6782422757572361,0.6825000000000001,70.63,2.7452318322833644
Cc1cc(C)c2c(N)c(C(=O)NCc3cccc(F)c3)sc2n1,0.771776911197111,3.564440000000001,68.01,2.1711207825892203
COC(=O)c1nnn(-c2cccc(C)c2)c1C(=O)OC,0.781234664047084,1.14892,83.31,2.208755795391438
Cc1ccccc1NC(=O)C(=O)CC(=O)c1ccc([N+](=O)[O-])cc1,0.2886581455108788,2.6838200000000008,106.38,2.0121768599340744
COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCCN(C)C1=O,0.4832717302530205,4.530100000000004,100.95,4.7601996619267135
Cc1ccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C(C)C)s3)n2)cc1,0.5685316246154579,3.639520000000002,114.8,2.5830426138289173
CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,0.6416182633533647,2.927900000000001,66.92,1.9019290636500048
O=C(C=Cc1ccc2ccccc2c1)NC1=C(C(=O)O)CCCC1,0.8398298826461649,3.8819000000000017,66.4,2.4124682554950354
Nc1cc(Cl)c(-c2cc(Cl)c(N)cc2Cl)cc1Cl,0.7150669994763803,5.131600000000001,52.04,2.286854093614417
Cc1ccccc1C(=O)Nc1nnc(S(=O)(=O)N2CCc3ccccc32)s1,0.6800650890963882,2.850220000000001,92.26,2.290491796003856
CC(=NNC(=O)c1ccccc1)C1C2C=CC(C2)C1(C)C,0.5130812376685732,3.6406000000000023,41.46,4.279778539992245
COC(=O)CC1C(C)(C)C(OC(C)=O)C2(O)C=C3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C1(C)C2=O,0.3531943439415417,3.6974000000000022,129.34,5.930696548478133
O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2[nH]nnc12,0.6906884717025417,3.3259000000000007,95.59,2.8492791264175263
